petscii_code,screen_code,basic_repr,char_name,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7
,243,,,E7,E7,E7,07,07,E7,E7,E7
,244,,,3F,3F,3F,3F,3F,3F,3F,3F
,245,,,1F,1F,1F,1F,1F,1F,1F,1F
,246,,,F8,F8,F8,F8,F8,F8,F8,F8
,247,,,00,00,FF,FF,FF,FF,FF,FF
,248,,,00,00,00,FF,FF,FF,FF,FF
,249,,,FF,FF,FF,FF,FF,00,00,00
,250,,,FC,FC,FC,FC,FC,FC,00,00
,251,,,FF,FF,FF,FF,0F,0F,0F,0F
,252,,,F0,F0,F0,F0,FF,FF,FF,FF
,253,,,E7,E7,E7,07,07,FF,FF,FF
,254,,,0F,0F,0F,0F,FF,FF,FF,FF
,255,,,0F,0F,0F,0F,F0,F0,F0,F0
